 GL552VWR20ENG        FABMASTER (R)          licence #5053 NATSTEEL, 

 Test Fixture Nails    2107/2362 Selected Drills           29-Jun-2015 18:02
                       2107 Nails, 2371 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$212       8.917     3.714   3  1A   (T)  #1624 N36832855        V VIA .
$213       8.909     3.663   3  1A   (T)  #1623 N36832691        V VIA .
$214       8.908     3.612   3  1A   (T)  #1621 N36832662        V VIA .
$215       8.786     3.652   1  1A   (T)  #1313 P_TEMPSENS_SDA_5 V VIA .
$216       8.790     3.794   1  1A   (T)  #337  P_TEMPSENS_ADDR_10 V VIA .
$217       8.736     4.030   1  1A   (T)  #618  P_TEMPSENS_TM2_10 V VIA .
$218       8.758     4.126   1  1A   (T)  #1716 +3VSUS_PCH       V VIA .
$219       8.666     4.283   1  1A   (T)  #240  DGPU_PWROK       V VIA .
$220       8.655     5.030   1  1A   (T)  #461  PM_EXTTS#0       V VIA .
$221       8.363     4.452   1  1A   (T)  #125  GPU_RST#         V VIA .
$222       8.498     3.949   1  1A   (T)  #84   PWRLIMIT_EC#     V VIA .
$223       8.495     3.721   1  1A   (T)  #83   EC_GPG2          V VIA .
$224       8.356     3.737   2  1A   (T)  #465  EC_SCE#          V VIA .
$225       8.286     3.723   2  1A   (T)  #254  EC_SI            V VIA .
$226       8.216     3.725   2  1A   (T)  #256  EC_SCK           V VIA .
$227       8.178     3.782   2  1A   (T)  #824  USB_BC1.2_OFF#   V PIN T3032.1
$228       8.272     3.905   1  1A   (T)  #73   EC_GPB3          V VIA .
$229       8.105     3.985   1  1A   (T)  #1541 N20244952        V VIA .
$230       8.020     4.058   1  1A   (T)  #1485 N20244902        V VIA .
$231       7.636     4.431   1  1A   (T)  #370  +12VS            V VIA .
$232       7.625     4.317   1  1A   (T)  #632  AUD_AZACPU_SDI   V VIA .
$233       7.668     3.766   1  1A   (T)  #1560 ID#              V VIA .
$234       7.786     3.870   1  1A   (T)  #462  +3VA_EC          V VIA .
$235       7.909     3.902   2  1A   (T)  #827  NUM_LED#         V PIN T3027.1
$236       7.962     3.858   2  1A   (T)  #833  USB30_5VBUS      V PIN T3031.1
$237       8.133     3.693   1  1A   (T)  #555  LID_SW#          V VIA .
$238       8.015     3.702   1  1A   (T)  #191  EC_GPF6          V VIA .
$239       7.845     3.725   1  1A   (T)  #464  A20GATE          V PIN T3005.1
$240       7.781     3.654   1  1A   (T)  #883  +3VPLL           V VIA .
$241       7.658     3.669   2  1A   (T)  #471  EC_GPJ6          V VIA .
$242       7.705     3.600   2  1A   (T)  #842  USB_CHARGE_ON#   V PIN T3030.1
$243       7.674     3.540   3  1A   (T)  #839  LPC_AD2_R        V VIA .
$244       7.684     3.487   3  1A   (T)  #838  LPC_AD1_R        V VIA .
$245       7.708     3.437   3  1A   (T)  #837  LPC_AD0_R        V VIA .
$246       7.702     3.358   3  1A   (T)  #820  EC_GPC7          V PIN T3020.1
$247       7.703     3.298   3  1A   (T)  #72   EC_GPE0          V VIA .
$248       8.051     2.882   1  1A   (T)  #880  EC_GPD7          V PIN T3026.1
$249       7.926     2.906   1  1A   (T)  #859  KSO2             V VIA .
$250       7.825     2.919   2  1A   (T)  #872  EC_GPA7          V PIN T3033.1
$251       7.795     2.983   2  1A   (T)  #82   EC_GPD5          V VIA .
$252       7.655     3.015   2  1A   (T)  #868  FAN1_PWM         V PIN T3028.1
$253       7.580     3.015   2  1A   (T)  #869  EC_GPA4          V PIN T3025.1
$254       7.570     3.240   1  1A   (T)  #76   EC_GPD1          V VIA .
$255       7.528     3.327   3  1A   (T)  #873  EC_GPD0          V VIA .
$256       7.563     3.378   3  1A   (T)  #78   EC_GPE6          V VIA .
$257       7.562     3.444   3  1A   (T)  #882  EC_12            V VIA .
$258       7.570     3.503   3  1A   (T)  #1742 LPC_AD0          V VIA .
$259       7.520     3.557   2  1A   (T)  #1740 LPC_AD2          V VIA .
$260       7.524     3.633   2  1A   (T)  #840  LPC_AD3_R        V VIA .
$261       7.420     3.575   1  2A   (T)  #557  EC_RST#          V VIA .
$262       7.312     3.758   1  2A   (T)  #90   CPU_THERM#       V VIA .
$263       6.976     3.973   1  2A   (T)  #173  CPU_TRIGGER_PCH  V VIA .
$264       7.020     4.194   1  2A   (T)  #213  PCH_THERMTRIP#   V VIA .
$265       7.104     4.380   1  2A   (T)  #159  VCCST_PWRGD_CPU  V VIA .
$266       7.219     4.861   1  2A   (T)  #186  +1.2V            V VIA .
$267       7.130     4.854   1  2A   (T)  #1536 +V_VREF_CA       V VIA .
$268       7.101     5.037   2  2A   (T)  #1449 +V_DDR_CA_VREF   V VIA .
$269       7.022     5.048   2  2A   (T)  #630  +V_VREF_CA_RC    V VIA .
$270       7.289     5.633   3  2A   (T)  #718  M_A_DQ30         V VIA .
$271       7.211     5.632   3  2A   (T)  #771  M_A_DQS#3        V VIA .
